STANAME,STAID,latitude,longitude,mean_diff_winter,mean_diff_spring,mean_diff_summer,mean_diff_autumn,mean_diff_pers_winter_0,mean_diff_pers_spring_0,mean_diff_pers_summer_0,mean_diff_pers_autumn_0,mean_diff_pers_winter_1,mean_diff_pers_spring_1,mean_diff_pers_summer_1,mean_diff_pers_autumn_1
SMOLENSK,97,+54:45:00,+032:04:00,2.571777777777778,2.1207246376811595,0.861123188405795,0.8485347985347982,0.05857760064053178,0.0398695279863768,0.06936892585866565,-0.03903551591492987,0.03343396789778923,-0.10185005884692129,-0.07476868668604164,-0.016892516036902942
SORTAVALA,98,+61:43:00,+030:43:00,2.333453377310521,1.6466417498541264,0.7126500884732057,0.7275912120185257,0.05404353410913216,-0.10268552070384597,-0.07349723266811382,0.05423856063339271,0.050195589046148084,-0.01743097464755209,0.05006407311921888,0.04543833270864584
SY'KTY'VKAR,99,+61:40:00,+050:52:00,2.08372471512644,1.3938348309355768,0.3658354819995502,0.9149576859921686,0.06309830183446062,-0.010792365129414045,-0.02728946030824058,0.013713086931129014,-0.10537731531071032,0.061856140858925865,0.0745838845820059,-0.12585657921774215
TAMBOV,100,+52:48:00,+041:30:00,2.2500673299751606,1.2796376811594214,0.6413622543805957,1.0016900341038264,0.10658223719853128,0.09193262755219435,-0.009756259112447867,0.08724404997842602,0.07583739550172054,-0.03991282381155068,-0.01569164100296906,-0.05326240409413557
TROIÑKO-PECHORSKOE,101,+62:42:00,+056:12:00,1.203039409960729,1.2488043478260868,0.4316666129500124,1.012808645577993,-0.0336488257305244,-0.06915455964976473,-0.04598026625805858,-0.014063531920348342,-0.05714441874106999,0.07612571881316235,0.04848258271132861,-0.06078055079230976
UST'-CIL'MA,102,+65:25:59,+052:16:00,1.0963644172460203,1.760615942028985,0.481169707029359,1.050721232790198,-0.002434815626110682,-0.09542878140258068,-0.08405212749850213,0.01511810107786234,-0.10716244666136197,-0.04115202970482037,0.045996611884816165,-0.036583724043325
VELIKIE LUKI,103,+56:21:00,+030:37:00,2.597777777777777,1.9291666666666671,1.1131772039859023,0.7870329670329665,0.054960488863863836,-0.058931408536001414,0.008293764456618556,-0.011141272009018535,-0.020369887676046194,-0.07226914300914347,-0.05640842582619318,-0.08538469574374015
VY'TEGRA,104,+61:01:00,+036:27:00,2.0947894758752748,1.5688766802716798,0.8249134087515166,0.7868477335833068,0.024969868962135433,-0.03624714525568545,-0.01370032114772594,-0.05761948442942047,-0.03815268713990105,0.01846090640303561,0.0315840982953996,-0.10143820609883449
VOLOGDA,105,+59:19:00,+039:55:00,1.9926190416718708,1.1106884057971018,0.3958249535350884,0.5423493747631678,0.046317071362896596,0.003006572619852133,0.02077283095910389,0.007217227022550713,-0.010810041565030975,-0.0726814948735306,-0.04110062615919809,-0.05538444995291367
HAMMER ODDE FYR,106,+55:17:52,+014:46:18,0.5572520110918926,0.9974397679674256,0.6011979204982936,0.7893151635442379,-0.17658578632485117,0.009616254742722175,0.07235255607756694,0.05284724582235795,0.009113909387788154,-0.11539779266633557,-0.04667759606881755,-0.04348930177666843
VESTERVIG,107,+56:46:45,+008:19:54,1.5584130124189473,1.3121355855357146,0.893560661096986,0.5782808463996592,-0.09605144095365657,-0.06753435981837876,0.005551749453693507,0.026210299942746044,0.04903717115709857,-0.011537710565407588,-0.009141039520652105,-0.022948121014282008
TRANEBJERG,113,+55:51:00,+010:36:00,0.8031693489821259,1.0028282860790174,0.7195053807260958,0.8334434169969178,-0.08154350885992966,0.11270352993604278,-0.15689931250998373,-0.060768848151480856,-0.01238573927308331,-0.06479902798982179,-0.0018625282539957504,-0.022271003522447524
KOEBENHAVN: LANDBOHOJSKOLEN-1,116,+55:40:59,+012:31:59,0.5223950617283943,0.9865143150304752,0.44670289855072554,0.6345409120418299,-0.06744585832171646,-0.0106649979292434,-0.01189601901120667,0.03385210156064844,-0.015872566110067304,-0.16837179809806996,-0.02377139311442008,0.05412067480737386
HAMMER ODDE FYR-1,117,+55:18:00,+014:46:59,0.5572520110918926,0.9974397679674256,0.6011979204982936,0.7893151635442379,-0.17658578632485117,0.009616254742722175,0.07235255607756694,0.05284724582235795,0.009113909387788154,-0.11539779266633557,-0.04667759606881755,-0.04348930177666843
SANDVIG,118,+55:16:59,+014:46:59,0.5572520110918926,0.9974397679674256,0.6011979204982936,0.7893151635442379,-0.17658578632485117,0.009616254742722175,0.07235255607756694,0.05284724582235795,0.009113909387788154,-0.11539779266633557,-0.04667759606881755,-0.04348930177666843
LANDBOHOEJSKOLEN,119,+55:41:09,+012:32:38,0.4975432098765431,0.9625563592493949,0.43594202898550805,0.6323423044932763,-0.06543489553599464,-0.012643999807937395,-0.025801149538025737,0.03706783976565866,-0.011219184460800192,-0.16061916254455788,-0.005058189313802746,0.059570404337590185
DUBLIN PHOENIX PARK,121,+53:21:50,-006:19:09,0.707215496332009,0.7955009849444199,0.7883695652173923,0.5128774928774913,-0.04117667758304309,0.04675653805905794,-0.0027195384156472407,-0.05329552942958412,-0.01954801093784987,-0.0031661366934365117,0.051191521383488314,-0.05218114911602184
VALENTIA OBSERVATORY,123,+51:56:22,-010:13:19,0.7300494491263718,0.5849421791694827,0.4968115942029012,0.5137912087912095,0.04289671993075441,0.0453094226106146,0.0743507219989411,0.09734527376542124,-0.045147559425164,-0.0013729304092984917,0.04514596841521164,-0.0817106544752133
HAR KENAAN,130,+32:58:00,+035:30:00,6.1278925115949185,1.0522599346622332,1.0252777335386085,1.4777024321178658,-0.03059709540061913,0.0010734600025991933,-0.019889542655063142,-0.06123655858420478,-0.2473126170443987,-0.1566846081545877,0.034418981700152916,-0.2925107923229523
JERUSALEM CENTRAL,132,+31:46:00,+035:13:00,-0.027727021333449287,1.0484778973228153,1.2229719503716794,0.6486213775487535,-0.15776954255905096,-0.014872008722768053,-0.019401262399450957,-0.08614919462391862,0.29639564610219477,0.05198060038770476,0.04933993402747316,0.05461590837217958
