STANAME,STAID,latitude,longitude,mean_diff_winter,mean_diff_spring,mean_diff_summer,mean_diff_autumn,mean_diff_pers_winter_0,mean_diff_pers_spring_0,mean_diff_pers_summer_0,mean_diff_pers_autumn_0,mean_diff_pers_winter_1,mean_diff_pers_spring_1,mean_diff_pers_summer_1,mean_diff_pers_autumn_1
PRAHA-KLEMENTINUM,27,+50:05:11,+014:24:59,1.5822592592592595,1.7313331580820073,1.7070652173913032,0.9306955364013536,0.016175024563059286,0.000527692332359408,0.004424955364215671,-0.009063137969928742,0.014523853012626457,-0.021415139266343062,0.01484641433895004,0.02963534460883119
SODANKYLA. LAPIN ILMATIET. TUTK.KESKUS,30,+67:21:57,+026:37:59,2.144628578148561,1.4872227044372552,0.6214424441151429,0.9207623450203151,-0.03661070530358966,-0.016457407613952667,0.010695213648002603,0.004971662366919974,-0.03421720509929783,-0.02243414006037228,0.003155348607710686,-0.04148990750001355
BOURGES,32,+47:03:33,+002:21:34,0.9001111111111113,1.1637318840579702,1.6310869565217416,0.951428571428572,-0.02968536126280306,-0.01203452467695198,0.10565649197513005,0.011137938694452338,0.033988116600036276,-0.02372039896001159,0.002778614433803157,0.021542442788695864
TOULOUSE-BLAGNAC,33,+43:37:15,+001:22:44,0.967407407407407,1.4925724637681128,1.9998550724637703,1.396996336996338,-0.009078170586158953,0.027953255863170372,0.05077939900936343,0.01279984544064915,0.0563690968209546,0.01518404316061135,-0.0008874076925005685,0.01860333027137829
BORDEAUX-MERIGNAC,34,+44:49:50,-000:41:29,1.2379629629629632,1.8062681159420286,2.226231884057974,1.5488644688644655,-0.004776347612721923,-0.018431693008656203,0.037606725949097884,0.01613544613757815,0.031207342211724186,0.03497665727559477,0.03552133175180737,0.03328873525888508
PERPIGNAN,36,+42:44:13,+002:52:22,0.5163333333333338,0.7164130434782621,1.1678260869565236,0.778315018315018,-0.10513831458799588,-0.054797280797572866,0.024940463041105445,0.002734960041151897,-0.0106257374958587,-0.006699760348598767,-0.053369620178252676,-0.005571704412755713
MARIGNANE,39,+43:26:16,+005:12:57,0.9904074074074076,1.3944927536231901,1.825072463768116,1.1815384615384623,0.008524862292743353,0.03542564853465397,0.035704873665035046,0.03147087861722853,0.03403779963754012,0.009915514919754075,0.006840332645755035,-0.002458070675145636
BAMBERG,40,+49:52:31,+010:55:18,1.2450370370370372,1.2398550724637705,1.2469202898550726,0.6868131868131879,0.021481554601031367,0.01007626222181498,0.051377898287451026,0.029642476922516318,0.04857001312357989,0.009211012241549939,-0.0038305986979347813,0.037060170895029096
BERLIN-DAHLEM,41,+52:27:50,+013:18:06,1.2195185185185187,1.307101449275363,1.1322463768115973,0.5959706959706974,0.026567546389051296,0.030690976836552333,0.05369155954533906,0.05976266981397533,0.007708604484721746,-0.010870690645577252,0.029248786540075036,0.05019541754912784
BREMEN,42,+53:02:47,+008:47:57,1.150666666666666,1.1189130434782601,0.7825724637681155,0.4649084249084243,-0.030981828675151223,0.017322278903424776,0.06062327540639211,0.03780060846022465,0.041068328781648226,0.007582926639961771,0.04252317734584384,0.0552113275183667
