STANAME,STAID,latitude,longitude,mean_diff_winter,mean_diff_spring,mean_diff_summer,mean_diff_autumn,mean_diff_pers_winter,mean_diff_pers_spring,mean_diff_pers_summer,mean_diff_pers_autumn
SCHWERIN,55,+53:38:39,+011:23:18,1.350494252873563,1.4792653673163425,1.1152186406796574,0.5988139446760137,0.07373976205864968,-0.05137027889827264,0.011582292317140093,0.05003640602492542
ZUGSPITZE,58,+47:25:19,+010:59:12,0.6242349936143032,0.993511994002998,1.3696151924037985,0.3625552608311229,0.04342826331100451,0.019094743663460523,-0.02139056128709934,0.01457649535982222
BUDAPEST BELTERULET,64,+47:30:39,+019:01:41,0.9632234993614305,1.101215642178909,1.364607696151925,0.7474725274725245,0.04125552676354565,-0.03123139400172482,0.03679982960411694,0.0630412793302132
DALATANGI,65,+65:16:05,-013:34:32,0.8903163729840735,0.7100265727653607,0.7588870820495268,0.47479624107707696,-0.046019529420146504,0.042543645357344485,0.02484828444737275,-0.035772172303170355
STYKKISHOLMUR,67,+65:04:26,-022:44:00,0.958527472215116,0.6958239277652374,0.8990865463494675,0.4805789747212339,-0.03574506934961967,0.035330147950983694,0.025356804244004293,0.07522973350959791
ALEKSANDROV GAJ,70,+50:09:00,+048:33:00,2.232644622520933,1.335387306346826,0.8868276208721184,1.2055102040816337,0.03756381740376223,-0.008547041528027351,-0.0060812468533325,0.05371515855696935
ARXANGEL'SK,71,+64:30:00,+040:43:59,1.3991087128229456,1.133956771614193,0.23368041420578933,0.630138670852957,-0.03662710008536977,-0.0026273107711703423,-0.04283638985040045,-0.014906799980882523
ARMAVIR,72,+44:58:59,+041:07:00,1.31409043126104,0.7410857071464285,0.9666688963210675,0.8281868131868144,-0.007358657707954851,0.005267159452652982,0.020062459693490194,0.003276546067914562
ASTRAXAN',73,+46:16:59,+047:58:59,1.7909308086683038,0.9199637681159416,0.736956327093548,1.0055756148613302,0.06829478387716377,0.018720777876767104,0.016835912092502636,0.04035866165034554
ELAT'MA,74,+54:57:00,+041:46:00,2.402630620539112,1.3604447776111952,0.5220611854471819,0.8905259026687595,-0.007609295540057505,-0.011844375460443831,0.007243817934067663,0.022219226732505416
KALININGRAD,77,+54:42:00,+020:37:00,1.8226300828080582,1.774169165417291,0.9972664899880641,0.5562775872570853,0.08875671731713489,0.014295223651869063,-0.014773430390898864,-0.019781222353080632
KANDALAKSHA,78,+67:09:00,+032:21:00,1.296482758620689,1.3323988005996998,0.27430299473435227,0.5224049513704684,-0.0961399449077712,-0.07095407581456907,0.03493089209487398,0.025163020991793933
